No.	Gloss	P.	PBz	TS	FX	XR	XL	CB	CJ							
1032	shoe; 鞋	$	*ɕe³	ʦʰuɔ²¹ ɕiɛ²⁴		ʦʰo³³ ɕe³⁵; ʦo³³ ɕɛ³⁵		ȵo²¹ ɕie⁵⁵	lo²¹ ɕie⁵³							
1033	direction; 方向	$	*kʰe@?			kʰe²¹ le⁵⁵		mɨe⁵⁵ kʰɨe²¹								
1034	four; 四	^	*ɹe¹ᴹ	zɤ⁵⁵	ze⁵³ pu⁵³	zə⁵⁴ pu³³	ze⁵⁵	zɨe³⁵ bu²¹								
1035	wind; 風	N^	*ɹe⁴	zɤ²⁴ su⁵¹	ze³⁵ su⁵³	zə³⁵ sɿ³³-⁵⁴	zəu³⁵ su⁵⁵; ze³⁵ su⁵³	ze²¹								
1036	y'all; 你們	N^ S$	*se⁴	sɤ²⁴	se³⁵	sə³³	se³⁵ ka⁵⁵ ɣɯ²¹	ɯ²¹ ɕi²¹; ʔɨ²¹ ɕi²¹	ʔɯ²¹ se²¹							
1037	drum; 鼓	S^	*xe²		xe²¹	xɯə⁵⁴	xɯe²¹	ʕe³⁵ bu²¹								
1038	to ask, to tell; 問、告訴	S$	*ze@?	ʦɤ²⁴	ʦe³⁵	ʦə³³	ko⁵⁵ ǳe³⁵	kɨ⁵⁵ ze³⁵	gɯ³³ ze³⁵							
1039	blood; 血	S^$	*m[e/eC]¹ᴸ	miɛ⁵¹	mie⁵³	miɛ⁵⁴ miɛ³³-³¹	mie⁵³	mi²¹ mi²¹	mie²¹ mie²¹							
1040	sound; 聲音	$	*ɹ[e/ɤ]¹ᴴ	a²⁴ zɤ⁵⁵	a³⁵ ze⁵³			ku¹³ zu⁵⁵	gu²¹ zu⁵³							
1041	day; （一）天	$	*ȵ[e/ɤ]¹ᴹ	ȵiɛ⁵⁵	la⁵³ ȵie⁵³	ȵe³³	ȵe²¹	ȵe³³								
1042	urine; 尿	N$ S^	*ʦʰ[e/ɤ]¹ᴹ	ɣɤ⁵⁵ ʦʰɤ⁵⁵	ei⁵³ ʦʰe²¹	ĩ⁵⁴ ʦʰə⁵⁴-³¹		ʦʰe³³ ʦʰe³⁵								
1043	some; 些	S^	*dɤ¹ᴸ	-tiɛ⁵⁵	te²¹			de¹³ bo⁵⁵								
1044	to be able to; 會	N$	*gɤ¹ᴸ	-ɣɤ⁵⁵	e⁵³	ə³³; ɣe⁵⁵		gɨe²¹; ge²¹								
1045	leaf; 葉子	N^S$	*ɣɤ¹ᴸ	ɣɤ⁵⁵ tʰa⁵⁵		ɣə⁵⁵ tʰa³³-³¹	ɣəu³⁵ la³⁵	ʔa⁵³ ɣɯe³⁵; ʔa⁵³ ɣɯe¹³								
1046	monkey; 猴	S^	*ɣɤ²		e⁵³	ɣə⁵⁴	ɣəu⁵³	ɣe³⁵ bie²¹								
1047	smoke; 煙	^	*kʰɤ¹ᴴ	kʰɤ²⁴ kʰa⁵¹	kʰe³⁵ kʰa²¹	kʰɯə³³ kʰɯə⁵⁴	kʰəu⁵⁵ kʰa²¹	kʰe⁵⁵ sa²¹								
1048	horn (of an animial); 角	S$	*kʰɤ¹ᴹ	kʰɤ⁵¹	kʰe⁵³	a⁵⁴ kʰɯə³³	kʰəu⁵³	kʰe³³								
1049	belly; 肚子	S^	*mɤ@?	mɤ²¹	me²¹	mɯə³³ tie³³; mo³³ ti³³		mai¹³ ʨi⁵⁵								
1050	two; 二	^	bu⁴		ȵie⁵³ pu⁵³	ȵe⁵⁴ pu³³	ȵe⁵⁵	lie⁵⁵								
1051	seed; 種子	N^ S$		ȵiɛ⁵⁵ lã⁵⁵	ȵie⁵³ lan⁵³	ȵɛ⁵⁴ na³³	ȵɛ⁵⁵ nã⁵⁵	ʔa³³ lie³³								
1052	boiling water; 開（水）	^	*pʰɤ¹ᴹ	pʰɤ⁵⁵ ʦʰɤ²¹	pʰe⁵³ ʦʰe²¹	pʰɯə⁵⁴ ʦʰə⁵⁴; pʰɯɛ⁵⁴	pʰɯe⁵⁵	pʰe³³								
1053	night; 夜	$	*pʰɤ⁴	pʰɤ⁵⁵	pʰai⁵³	nɔ³³ ʨi³³ pʰɛ³⁵-⁵⁵ 		ǳa³⁵ pʰe²¹								
1054	bowl; 碗	N^ S$	*ʨʰɤ²	ʨʰiɛ²¹ pi²⁴	ʨʰi⁵³ pi⁵³	ʨʰe³³ pi³⁵	ʨʰe²¹ bi³⁵	ʔa⁵⁵ tʰie¹³	ʔa⁵⁵ tʰie³⁵							
1055	mouth; 嘴	N$	*zɤ⁴	ʦɤ²⁴	ʦe³⁵	ʦə³³	ʦə³⁵ '嘴 (mouth)'; ǳə³⁵ '句 (sentence, cl.)'; ʦe⁵⁵ '口 (bite, cl.)' 	ze²¹								
1056	bran; 糠	^	*bi¹ᴸ	ʦʰɿ²⁴ pʰi⁵⁵				bi²¹ be⁵⁵								
1057	son; 兒子	S$	*bi⁴	pi²⁴	pi³⁵	pi³⁵	bi³⁵	ʔa³³ bie²¹	bie²¹ ŋɯ²¹							
1058	help; 幫	$	*ɕi¹ᴸ	ta⁵¹ ɕi⁵¹	ta⁵³ ɕi⁵⁵	ta⁵⁴ ɕi³³-³¹		ʔa²¹ ɕi²¹								
1059	green; 青	^	*ɕi⁴		ɕin³⁵ ka⁵³ te²¹	ɕĩ³⁵ ka⁵⁴ tõ³³ tõ³³	ɕin³⁵ ka⁵³ bo²¹ bo²¹	ɕi²¹ ɕi²¹								
1060	to hear; 聽見	S$	*ɕi¹ᴴ		ɕi⁵⁵	ɕi⁵⁴		ħo³³ ɕi³⁵;ħo³³ zi³³								
1061	tael; 兩	$	*ǳi¹ᴹ	ʦɿ⁵⁵ (ʨi⁵⁵ )	ʦi⁵³			ǳi³³								
1062	to fly; 飛	N^ S$	*ʥi¹ᴹ		ʨi⁵⁵ ʨe⁵³			m̩³³ ʥi³³	m̩²¹ ʥi²¹							
1063	feet; 腳	S$	*ʥi²	ʨi²¹	a²¹ ʨi²¹	ʨi³³ pʰa³³	ʨi²¹ pʰa³⁵	a³³ ʥi³⁵								
1064	skin; 皮	N²/³ S^	*ki¹ᴸ	ʦʰɿ⁵⁵ kʰɨ⁵⁵ tʰa⁵⁵ 'paper'	ʦʰi⁵³ kʰei⁵³ tʰa²¹ '纸 (paper)'	ʦʰə⁵⁴ kʰɯə³³ tʰa³³; ʦʰə⁵⁴ kʰe³³ tʰa³³ 'paper'	ʦʰɿ⁵⁵ kʰɯ⁵⁵ tʰa⁵⁵ ''纸 (paper)'	ki²¹ lo²¹								
1065	bitter; 苦	N^	*kʰi³	kʰɨ²⁴ ʦɿ⁵⁵	kʰi³⁵ ʦi⁵³ ʦi⁵³	kʰɯ³³ ʨe³³ ʨe³³;kʰɯ³³ ʨe³³ ʨe³⁵	kʰɯ³⁵ ʥi⁵⁵ ʥi³⁵	kʰi⁵⁵	kʰi⁵³							
1066	to hang; 掛	N$^	*kʰi@?		kʰi³⁵ kʰi⁵³	kʰɯ⁵⁴ kʰɯ⁵⁴; kʰɯ³³ kʰɯ³³; kʰɯ³⁵ kʰɯ⁵⁵	kʰɯ³⁵ kʰɯ³⁵	kʰi³⁵								
1067	heart; 心	^	*li¹ᴸ	li⁵⁵ kʰuɔ⁵⁵ luɔ⁵⁵	li⁵³ kʰo⁵³ li²¹	li⁵⁵ tʰo³³	li⁵⁵ kʰo⁵⁵ lo³⁵	li²¹ sɿ¹³ '高兴 (happy)'	li²¹ ŋa²¹ (1986S)							
1068	two (days) later; 後天	^	*mi³	mi²⁴ ȵiɛ⁵¹		mi³³ ȵi³³-⁵⁵; mi³³ ȵe⁵⁵	mi³⁵ ȵe⁵⁵	mɨe⁵⁵ kʰɨe²¹ ȵie³³	ʔa²¹ mu²¹ ȵian²¹							
1069	all; 全部	$	*ni¹ᴴ		xu³⁵ ȵi⁵³	kʰɯ³⁵-³³ li⁵⁵		bu¹³ li⁵⁵ '都'	bu¹³ li⁵³							
1070	female; 雌性	N²/³ S$	*ȵi²		ȵɨ²¹ ka²¹	ȵi³³ ka³³		ȵi³⁵								
1071	clf. for clothes; 件	$	*pi²		pʰi⁵³	pʰi³³	pʰi⁵³	pi³⁵; pi¹³								
1072	divide; 分	$	*pʰi²	pʰi²¹	ʔa³³ pʰi¹³	a³³ pʰi³³	pʰi²¹	da⁴pi³								
1073	salt; 鹽	N^ S$	*si¹ᴴ		ɕi⁵³ la⁵³			ʔa¹³ sɿ⁵⁵								
1074	saliva; 涎水	$	*si@?	ʦʰɤ²¹ sɿ²¹				ʦʰe¹³ si⁵⁵								
1075	sheng; 升	S^	*si@?	sɿ²¹	si²¹ kʰo²¹	ɕi³³; ⁵⁵	ɕi²¹ kʰo²¹	sɿ⁵⁵ ʦɨ²¹								
1076	clothes; 衣服	^	*ti@?	*tʰi ja 體亞;(Tian H. 2006:252, Baojing Xianzhi)				ɕi³³ ti³⁵	ɕi³³ ti³⁵							
1077	bottom; 底下	$	*ti²	pa²¹ tʰi²¹	pa²¹ ti²¹	pa³³ tʰi³³	ba²¹ tʰi³⁵	a³³ di³⁵	ʔɯ⁵⁵ ti³⁵							
1078	nose; 鼻子	N$ S²/³	*ʨi¹ᴴ	ɤŋ²⁴ ʨʰi⁵¹	en³⁵ ʨʰi⁵³	ĩ⁵⁵ ʨʰi³³		kɯ¹³ ʨi⁵⁵ dɯ¹³								
1079	soy bean; 豆	N^	*ʨʰi²	ʨʰi²⁴ pu⁵⁵	ʨʰi³⁵ pu⁵³	ʨʰɔ³⁵ pu³³-³⁵; ʨʰe³⁵ pu⁵⁵ lɛ⁵⁵	ʨʰi³⁵ pu³⁵ le³⁵	ʨʰi²¹								
1080	pheasant; 野雞	N$	*ʨʰi¹ᴴ	pau²⁴ ʨʰi⁵⁵	pau³⁵ ʨʰi²¹	pɔ³⁵ ʨʰi⁵⁴-⁵⁵		ʨʰi⁵⁵ (chicken)								
1081	sore; 毒包、瘡	^	*ʦʰi⁴	ʦʰɿ²⁴ ka⁵⁵ (ʨʰi²⁴ ka⁵⁵ )	ʨʰe³⁵ ka⁵³	ʨʰi³³ ka³³		ʦʰo²¹ bo²¹	ʦʰo²¹ bo²¹							
1082	written word; 字	$	*ʦʰi¹ᴹ	ʦʰɿ⁵⁵ ʦʰɿ⁵⁵		ʦʰɿ⁵⁴ ʦʰɿ³³	ʦʰi⁵⁵ ʦʰɿ⁵⁵; ʦʰɿ⁵⁵ pʰi⁵⁵ '书 (book)'	m³³ ʦʰi³³								
1083	ten; 十	$	*xi⁴	xɨ²⁴	xei³⁵	xə³⁵ '八 (eight)'		ʕi²¹	ʕɯ²¹							
1084	village; 村莊	N$ S^	*ʔi¹ᴴ	luɔ⁵⁵ jɔu⁵⁵				ji⁵⁵ de²¹								
1085	to comb; 梳	S^	*siC²	ɕi²¹	ɕi²¹	ɕi³³	ɕi²¹	ɕie²¹ bie³³								
1086	clothes; 衣服	^	*siC¹ᴹ	sɿ⁵⁵ pa⁵⁵	ɕi⁵⁵ pa⁵⁵	ɕi⁵⁴ pa³³	ɕi³³ pa²¹	ɕi³³ ti³⁵	ɕi³³ ti³⁵							
1087	big; 大	N^	*ʦʰiC¹ᴹ	ʦʰɿ⁵¹	ʦʰi⁵³	ʨʰi⁵⁴		ʨʰi³³								
1088	to understand, to know; 知道	N$ S^	*s[iC/e]@?	xa⁵¹ zɿ²¹; xau⁵¹ zɿ²¹	xa⁵³ zi²¹	xa³³ la³³ ɕi³³	xau⁵⁵ zɿ²¹	se⁵⁵ ʨʰie⁵⁵; ɕie⁵⁵ ʨʰie⁵⁵	ɕie⁵³ ʦʰe²¹							
1089	bed; 牀	$	*dɑ[C]@?				nie³⁵ do⁵⁵	nie²¹ do³⁵								
1090	rice (uncooked); 秧	^	*sɿ¹ᴸ	sɿ⁵⁵ li⁵⁵ 'rice'	si⁵³ li⁵³ '稻谷'	sɹ̩⁵⁴ li³³ '青苗'		si¹³ ɣe⁵⁵								
1091	flea; 蝨子	$	*sɿ¹ᴴ	sɿ⁵⁵ sɿ⁵⁵	si⁵³ si⁵³	sɿ⁵⁴ sɿ³³	sɿ⁵⁵ sɿ⁵⁵	si⁵⁵								
1092	white; 白	N$	*sɿ@?	a²¹ sɿ²¹	a²¹ si²¹	ɣa³³ si³³	a²¹ si²¹ 	si³³	sɿ³³							
1093	beast; 獸	S$	*sɿ²	sɿ²¹	si²¹				ǳa²¹ sɿ³⁵							
1094	tooth; 牙	^	*sɿ¹ᴹ	sɿ⁵⁵ sɿ⁵⁵	si⁵⁵ si⁵⁵	sɿ⁵⁴ sɿ³³	sɿ⁵⁵ sɿ⁵⁵	sɿ⁵⁵ ta³⁵	sɿ⁵⁵ ta¹³							
1095	not; 不	^	*ʦɿ¹ᴸ		ʦi²¹ e⁵³	ʦʰɿ⁵⁴ ɣə³³ 不会		ʦi²¹								
1096	ashes; 灰	$	*ʦʰɿ⁴		pu²¹ ʦʰi⁵³	pu³³ ʦʰɿ³⁵	pu²¹ ʦʰi³⁵	m¹³ ʦʰi⁵⁵								
1097	clf. for general objects; 個	$	*bu⁴	pu²⁴	la³⁵ pu⁵³ '一个 (one)'	pu³³		bu²¹								
1098	soy bean; 豆	$	*bu⁴	ʨʰi²⁴ pu⁵⁵	ʨʰi³⁵ pu⁵³	ʨʰɔ³⁵ pu³³-³⁵; ʨʰe³⁵ pu⁵⁵ lɛ⁵⁵		bu²¹								
1099	to touch; 摸	$S ^N	*bu¹ᴸ	pu⁵⁵ pu²¹		pu³³ pu⁵⁵; pu³⁵ pu⁵⁵	ɕi⁵⁵ bie⁵⁵	su⁵⁵ bu¹³								
1100	face; 臉	^N S$	*gu⁴	ku²⁴	ku³⁵	a³³-⁵⁴ ku³³-⁵⁴	ku³⁵	a²¹ gu²¹								
1101	now; 現在	^	*mu@?	mu²⁴ la⁵⁵	mu³⁵ lan⁵³	a⁵⁴ mu³³		mu³³ ȵie³³ 'today'								
1102	bamboo; 竹子	$	*mu²	mu⁵¹ ȵiɛ²¹	mu⁵³ ȵie²¹	mu⁵⁴	mu⁵³	mu⁵⁵ tu³⁵								
1103	to tie together; 捆	S^	*pu@?	pʰu²¹	pʰu²¹		tʰi³⁵	pu⁵⁵ ʨi¹³ '捆'								
1104	flower/blossom; 花	N$ S^	*pu¹ᴸ	kʰa⁵⁵ pʰu⁵⁵	kʰa⁵³ pʰu⁵³	kʰa³³ pʰu³³; kʰa⁵⁴ pʰu³³-³¹	kʰa⁵⁵ pʰei⁵³	ʦu⁵⁵ pu¹³								
1105	few; 少	N^	*pʰu¹ᴹ	pʰu⁵⁵ ʦʰɿ²¹	pʰu⁵³ ʦʰi⁵³	pʰu³³ ʦʰɿ³³		pʰu³³								
1106	shy; 害羞	N^S$	*ɹu¹ᴴ	zu⁵⁵ ka²¹	zu⁵³ ka²¹	zu³⁵ ka³³		ku¹³ zu⁵⁵; ku²¹ ǳu⁵⁵								
1107	fruit; 果子	^	*su¹ᴸ		kʰu³⁵ su⁵³			su²¹ bu²¹								
1108	to store up; 收藏	N^	*su¹ᴸ	su⁵⁵ su⁵⁵ 'tɔ stɔre up'	su⁵³ su⁵³			su¹³	su²¹ lu³⁵ '躲开 (to sheer)'							
1109	millet; 小米	^	*ʔu¹ᴸ	wu⁵⁵ suɔ⁵⁵ (wu²¹ )	u⁵³ so⁵³	wo⁵⁴ so³³ ʦɿ³³ ɣə³³		ʔu²¹ ǳi⁵⁵	wu²¹ ʥi⁵³							
1110	chilly; 涼	N^	*ʔu³	wu²⁴ ʨʰi⁵⁵	u³⁵ ʨʰi⁵³ ʨʰi⁵³	u⁵⁵; wu³³ ʨʰi⁵⁴ ʨʰi⁵⁴		ʔu⁵⁵ ʔɯ⁵⁵								
1111	left over; 剩的	N$	*ʔu¹ᴴ	a⁵⁵ wu⁵⁵				wu⁵⁵								
1112	to escape; 逃	S^	*b[u/ɑC]@?	pɔ²¹	po²¹			bu²¹ ɣe¹³								
1113	cave; 洞	N^ S$	*duŋ²	tɔ̃²⁴	toŋ³⁵ pi²¹ '小洞 (small cave)'	tõ³⁵	duŋ³⁵	ʔa³³ dɯ³⁵								
1114	thunder, to sound; 雷、響	$	*ɣuŋ@?		me³⁵ oŋ²¹	mɯe³⁵-⁵⁵ õ⁵⁵	mɯe³⁵ uŋ²¹	me²¹ ɣɯ²¹								
1115	cl. for animals; （一）頭（牛）	$	*luŋ@?	lɔ̃²¹	loŋ⁵³	nõ³⁵ (for fisʰ)	luŋ⁵⁵	nũ²¹; nõ²¹								
1116	to block; 堵塞	S$	*suŋ²		soŋ²¹			ʔa³³ sɯ¹³	ʔa³³ sɯ³⁵							
1117	to pestle; 碓	^	*suŋ⁴	sɔ̃²⁴ ka²⁴		sõ³⁵ ka⁵⁵		sa²¹ pa²¹								
1118	deaf; 聾	N$	*tuŋ¹ᴹ		loŋ⁵³ tʰoŋ⁵³			tɯ³³								
1119	nest; 窩	S$	*tuŋ¹ᴹ	tʰɔ̃⁵¹	pu⁵³ ʦʰi⁵³ tʰoŋ⁵³ '蜘蛛网 (spider net)'	za³³ tʰõ³³ '鸡窝 (chicken coop)'		tɯ³³								
1120	almost; 快要	$	*gɯ@?	-ku²⁴ (现在)				ǳɯ²¹ gɯ¹³								
1121	six; 六	^	*ɣɯ²	lu²⁴	o²¹ pu⁵³	wo³³ na⁵⁴-³³ xu³³-³⁵	wo²¹	ɣɯ³⁵								
1122	bowl; 碗	$	*sɯ¹ᴴ	su⁵⁵	la⁵³ su⁵³ '一碗 (a bowl of)'	su³³ (cl.)	su⁵⁵	sɯ⁵⁵								
2001	stone, bone; 石頭、骨頭	^	*lɯ@?	lu⁵⁵ ka⁵⁵ 'bone'	lu⁵³ka²¹ '骨头 (bone)'	lu⁵⁴ ka³³-³¹	pʰɯ⁵³	lɯ³⁵ kɯ²¹ dɯ¹³ '石头'	lɯ²¹ kɯ³³ dɯ³⁵ '石头'							
2002	stone, bone; 石頭、骨頭	N$ S²/³	*gɑ¹ᴸ	lu⁵⁵ ka⁵⁵ 'bone'	lu⁵³ ka²¹	lu⁵⁴ ka³³-³¹		lɯ³⁵ kɯ²¹ dɯ¹³ '石头'								
2003	gourd; 葫蘆	N^ S²/³	*lɑ¹ᴸ		la⁵³ tʰu⁵³			ko²¹ lo²¹ tɯ⁵⁵								
2004	gourd; 葫蘆	$	*tʰɯ¹ᴴ		la⁵³ tʰu⁵³			ko²¹ lo²¹ tɯ⁵⁵								
2005	ant; 螞蟻	^	*s[V]@?	sɿ⁵⁵ ȵi²¹ ka²¹		ɕi⁵⁴ ni³³ ka⁵⁴ pa⁵⁴		sa²¹ ȵi³⁵	sa²¹ ȵi³⁵							
2006	ant; 螞蟻	$	*ȵi²	sɿ⁵⁵ ȵi²¹ ka²¹	si⁵³ ȵi²¹ ka²¹	ɕi⁵⁴ ni³³ ka⁵⁴ pa⁵⁵		sa²¹ ȵi³⁵	sa²¹ ȵi³⁵							
2007	belt; 腰帶	^	*pu²	mɤ²¹ pʰu²¹ la⁵⁵	me²¹ pʰu²¹ la⁵³	kʰɯu³³ pi³³ la³⁵		kʰu⁵⁵ bu¹³ lo⁵⁵	kʰu⁵⁵ pu³⁵ lo⁵³							
2008	belt; 腰帶	$	*lɑ¹ᴴ	mɤ²¹ pʰu²¹ la⁵⁵	me²¹ pʰu²¹ la⁵³	kʰɯu³³ pi³³ la³⁵		kʰu⁵⁵ bu¹³ lo⁵⁵	kʰu⁵⁵ pu³⁵ lo⁵⁴							
2009	bright; 亮	^	*ku¹ᴸ	kʰu⁵⁵ su²¹ ka²⁴	su²¹	su³³ '(天)亮'	kʰu⁵⁵ su²¹	ku²¹ su³⁵ '灯'								
2010	bright; 亮	$	*su²	kʰu⁵⁵ su²¹ ka²⁴	su²¹	su³³ '(天)亮'	kʰu⁵⁵ su²¹	ku²¹ su³⁵								
2011	bug; 蟲	^	*tɤC¹ᴹ	tʰiɛ⁵⁵ pʰɤ²¹	tʰe⁵³ pʰe²¹	tʰe⁵⁴ pʰɯɛ⁵⁴		tei³³ pʰe³⁵; tɨ³³ pʰe³⁵	ti⁵⁵ pʰei³⁵ bie²¹							
2012	bug; 蟲	$	*pʰɤ²	tʰiɛ⁵⁵ pʰɤ²¹	tʰe⁵³ pʰe²¹	tʰe⁵⁴ pʰɯɛ⁵⁴		tei³³ pʰe³⁵ '蛇 (snake)'	ti⁵⁵ pʰei³⁵ bie²¹							
2013	cold; 冷	^	*s[ɿ/i/iC]¹ᴹ	sa⁵¹	sa⁵³	sa⁵⁴	sa⁵⁵		sɿ³³ ǳa³³							
2014	cold; 冷	$	*ǳæ¹ᴹ	sa⁵¹	sa⁵³	sa⁵⁴	sa⁵⁵		sɿ³³ ǳa³³							
2015	to dream; 夢	^	*mɯ²	mu²¹ ʦɿ²¹	mu²¹ ʦi²¹	mu³³ ʨi³³	mu²¹ ʥi⁵⁵	mu³⁵ zi¹³ 'to dream'	mɯu³⁵							
2016	to dream; 夢	$	*ǳiC²	mu²¹ ʦɿ²¹	mu²¹ ʦi²¹	mu³³ ʨi³³	mu²¹ ʥi⁵⁵	mu³⁵ zi¹³ 'to dream'	mɯu³⁵							
2017	dustpan; 簸箕	^	*tɑ@?	tʰa²⁴ kʰɨ⁵⁵; tʰa²⁴ kʰɤ⁵⁵	tʰa³⁵ kʰei⁵³	tʰa³⁵ kʰə⁵⁴	tʰa³⁵ kʰɯ⁵⁵	ti²¹ kɨ²¹								
2018	dustpan; 簸箕	$	*k[i/ɤ]⁴	tʰa²⁴ kʰɨ⁵⁵; tʰa²⁴ kʰɤ⁵⁵	tʰa³⁵ kʰei⁵³	tʰa³⁵ kʰə⁵⁴	tʰa³⁵ kʰɯ⁵⁵	ti²¹ kɨ²¹								
2019	eagle; 老鷹	^	*bɑC⁴	pã²⁴	pan³⁵	pã³⁵		ba²¹ ŋɨ³³								
2020	eagle; 老鷹	$	*ŋi¹ᴹ	pã²⁴	pan³⁵	pã³⁵		ba²¹ ŋɨ³³								
2021	ear of grain; 穗子	^	*ʔæ	a⁵⁵ pʰɤ²¹	a⁵⁵ pʰe²¹	a⁵⁵ pʰɯe³³		a³³ pʰe³⁵								
2022	ear of grain; 穗子	$	*pʰɤ²	a⁵⁵ pʰɤ²¹	a⁵⁵ pʰe²¹	a⁵⁵ pʰɯe³³		a³³ pʰe³⁵								
2023	in-law; 親家	^	*ʔæ	a²¹ ʦʰuɔ⁵¹ 'elder-brother-in-law'	a⁵³ ʦo²¹ 'elder-brother-in-law'	ʦo⁵⁴ ʑi³³-³¹ 'relatives'		a³³ ǳa³³	ʔa²¹ ʦa²¹ mo²¹							
2024	in-law; 親家	$	*[ʦ/ǳ]ɑC¹ᴹ	a²¹ ʦʰuɔ⁵¹ 'elder-brother-in-law'	a⁵³ ʦo²¹ 'elder-brother-in-law'	ʦo⁵⁴ ʑi³³-³¹ 'relatives'		a³³ ǳa³³	ʔa²¹ ʦa²¹ mo²¹							
2025	field; 田地	^	*si@?	sɤ²¹ kʰɤ⁵⁵ sɿ²¹ tʰiɛ²⁴ sɿ²¹ tʰiɛ²⁴ kʰɤ²¹	si²¹ te⁵³	ɕi³³ kʰə⁵⁵; ɕe³³ kʰe⁵⁵; ɕɛ³³-³¹ kʰe⁵⁵	tʰie⁵³ '块 (a piece of land, cl.)'	si¹³ die⁵⁵	sɿ²¹ tie⁵³; ɕie²¹ tie⁵³							
2026	field; 田地	$	*tɤ¹ᴴ	sɤ²¹ kʰɤ⁵⁵ sɿ²¹ tʰiɛ²⁴ sɿ²¹ tʰiɛ²⁴ kʰɤ²¹	si²¹ te⁵³	ɕi³³ kʰə⁵⁵; ɕe³³ kʰe⁵⁵; ɕɛ³³-³¹ kʰe⁵⁵	tʰie⁵³ '块 (a piece of land, cl.)'	si¹³ die⁵⁵	sɿ²¹ tie⁵³; ɕie²¹ tie⁵³							
2027	fish; 魚	^	*sɿ¹ᴹ	sɔ̃²⁴	soŋ³⁵	sũ³⁵; sõ³⁵	suŋ³⁵	si³³ ŋɨ²¹								
2028	fish; 魚	$	*ŋi²	sɔ̃²⁴	soŋ³⁵	sũ³⁵; sõ³⁵	suŋ³⁵	si³³ ŋɨ²¹								
2029	front; 前面	^	*di¹ᴴ	ti⁵⁵ ka²¹	ti⁵³ ka⁵³ '以前 (before)'			di⁵⁵ go³⁵								
2030	front; 前面	$	*gɑ²	ti⁵⁵ ka²¹	ti⁵³ ka⁵³ '以前 (before)'			di⁵⁵ go³⁵								
2031	god, ghost; 神、鬼	^	*ʔæ	a⁵⁵ je²¹	a⁵⁵ ze²¹	a³³ ʨe⁵⁵		a³³ ze¹³	ʔa⁵⁵ ʥie³⁵; ʔa⁵⁵ je³⁵; ʔa⁵⁵ ze³⁵							
2032	god, ghost; 神、鬼	$	*ʑe²	a⁵⁵ je²¹	a⁵⁵ ze²¹	a³³ ʨe⁵⁵	a⁵⁵ je²¹	a³³ ze¹³	ʔa⁵⁵ ʥie³⁵; ʔa⁵⁵ je³⁵; ʔa⁵⁵ ze³⁵							
2033	granary; 倉庫	^	*ʔu⁴		u³⁵ ʨi⁵³	wu³⁵ ʨi⁵⁵		ʔu²¹ ʥi²¹								
2034	granary; 倉庫	$	*ʥi¹ᴹ/@?		u³⁵ ʨi⁵³	wu³⁵ ʨi⁵⁵		ʔu²¹ ʥi²¹								
2035	intestine; 腸子	$	*lɑ¹ᴴ	pi²⁴ la⁵⁵	pi³⁵ la⁵³	pi³⁵ la⁵⁴; pi³⁵ la³³	pi³⁵ la³⁵	ka²¹ po³⁵ lo⁵⁵	ka²¹ pu³¹ lu⁵³							
2036	intestine; 腸子	N^ S²	*bi@?	pi²⁴ la⁵⁵	pi³⁵ la⁵³	pi³⁵ la⁵⁴; pi³⁵ la³³	pi³⁵ la³⁵	ka²¹ po³⁵ lo⁵⁵	ka²¹ pu³¹ lu⁵³							
2037	kudzu; 葛	^	*ʔæ	a²¹ pu²¹	a²¹ pʰoŋ²¹				a¹³ pɯ⁵¹ (2006S)							
2038	kudzu; 葛	$	*puŋ@?	a²¹ pu²¹	a²¹ pʰoŋ²¹				a¹³ pɯ⁵¹ (2006S)							
2039	middle; 中間	$	*li¹ᴸ	luɔ²⁴ liu⁵⁵	lo²¹li⁵³											
2040	middle; 中間	^	*lɑC³	luɔ²⁴ liu⁵⁵	lo²¹li⁵³											
2041	money; 錢	^	*ku⁴					ku²¹ lu²¹								
2042	money; 錢	$	*lɑC@?					ku²¹ lu²¹								
2043	new; 新	^	*ʔæ	a²⁴ ɕi⁵⁵	a³⁵ ɕi⁵³	a³³ ɕi³³	a³⁵ ɕi³⁵	ʔa²¹ ɕi²¹								
2044	new; 新	$	*siC⁴	a²⁴ ɕi⁵⁵	a³⁵ ɕi⁵³	a³³ ɕi³³		ʔa²¹ ɕi²¹								
2045	radish; 蘿蔔	^	*læ¹ᴹ	la⁵⁵ pɤ⁵⁵	la⁵³ pe⁵³	la³³ pɯɛ³³		la³³ be³³								
2046	radish; 蘿蔔	$	*bɤ¹ᴹ	la⁵⁵ pɤ⁵⁵	la⁵³ pe⁵³	la³³ pɯɛ³³		la³³ be³³								
2047	raw; 生	^	*ʔæ	a⁵⁵ xɔ̃⁵⁵	a⁵⁵ xoŋ⁵³	a⁵⁴ xũ³³		a³³ ħɯ⁵⁵; a³³ ħɯ³³								
2048	raw; 生	$	*xuŋ¹ᴴ	a⁵⁵ xɔ̃⁵⁵	a⁵⁵ xoŋ⁵³	a⁵⁴ xũ³³		a³³ ħɯ⁵⁵; a³³ ħɯ³³								
2049	rice; 穀子	N^ S$	*lie³	li²⁴ pu²⁴	li³⁵ pu⁵³	li³⁵ pu³⁵	li³⁵ pu³⁵	bu²¹ le²¹								
